,robot index,width,depth,height,voxels,wheels,sensors,limbs,casters,norm,skeleton norm,components norm,replicate_index,replicate,environment,encoding,parent 1,parent 2,evaluation time,time,fitness
840,8576,0.727273,0.727273,0.0909091,0.0323065,6.0,1.0,0.0,0.0,1.1007685757974108,1.0330344657672657,0.3801726581436387,8320,/media/leni/DATADRIVE1/gecco_2026/meim_sq_cracks/meim_sq_cracks_20_0_0-27-12-2423-3074945916,cracks,SQ_CPPN,6805,-1,0.04004548138888889,9.016502871111111,0.214844
841,3350,0.727273,0.909091,0.0909091,0.052592,6.0,1.0,0.0,0.0,1.2292005921479252,1.1689323529344244,0.3801726581436387,3194,/media/leni/DATADRIVE1/gecco_2026/meim_sq_cracks/meim_sq_cracks_20_0_0-27-12-2423-3074945916,cracks,SQ_CPPN,1942,-1,0.04257767972222222,3.2779165594444444,0.1875
842,9626,0.636364,0.909091,0.0909091,0.0420736,6.0,1.0,0.0,0.0,1.177272903390191,1.1141993713230904,0.3801726581436387,9336,/media/leni/DATADRIVE1/gecco_2026/meim_sq_cracks/meim_sq_cracks_20_0_0-27-12-2423-3074945916,cracks,SQ_CPPN,8743,-1,0.04246891138888889,9.745249931666667,0.183594
843,9993,0.545455,0.909091,0.0909091,0.0255447,6.0,1.0,0.0,0.0,1.1302282289285206,1.0643705179433054,0.3801726581436387,9690,/media/leni/DATADRIVE1/gecco_2026/meim_sq_cracks/meim_sq_cracks_20_0_0-27-12-2423-3074945916,cracks,SQ_CPPN,8545,-1,0.039420539722222224,10.077210559166666,0.167969
844,2961,0.727273,0.727273,0.0909091,0.0270473,6.0,1.0,0.0,0.0,1.100626777776236,1.032883369000634,0.3801726581436387,2815,/media/leni/DATADRIVE1/gecco_2026/meim_sq_cracks/meim_sq_cracks_20_0_0-27-12-2423-3074945916,cracks,SQ_CPPN,1914,-1,0.04093002666666667,2.866154736388889,0.160156
845,5353,0.545455,0.909091,0.0909091,0.0255447,6.0,1.0,0.0,0.0,1.1302282289285206,1.0643705179433054,0.3801726581436387,5157,/media/leni/DATADRIVE1/gecco_2026/meim_sq_cracks/meim_sq_cracks_20_0_0-27-12-2423-3074945916,cracks,SQ_CPPN,4829,-1,0.0392166075,5.713305388055556,0.15625
846,5546,0.545455,0.545455,0.0,0.0180316,2.0,1.0,4.0,1.0,0.8254119896442988,0.7716005784397522,0.29315098498896436,5392,/media/leni/DATADRIVE1/gecco_2026/meim_sq_cracks/meim_sq_cracks_20_0_0-27-12-2423-3074945916,cracks,SQ_CPPN,343,-1,0.06556334805555555,5.892149928055556,0.144531
847,2762,0.727273,0.727273,0.0909091,0.0338092,6.0,1.0,0.0,0.0,1.1008137033692167,1.0330825521348475,0.3801726581436387,2613,/media/leni/DATADRIVE1/gecco_2026/meim_sq_cracks/meim_sq_cracks_20_0_0-27-12-2423-3074945916,cracks,SQ_CPPN,1682,-1,0.04098212833333333,2.736005767777778,0.144531
848,7512,0.727273,0.727273,0.0,0.0270473,6.0,1.0,0.0,0.0,1.0968659168263413,1.0288749144066494,0.3801726581436387,7267,/media/leni/DATADRIVE1/gecco_2026/meim_sq_cracks/meim_sq_cracks_20_0_0-27-12-2423-3074945916,cracks,SQ_CPPN,4438,-1,0.07243141944444445,7.8880507911111115,0.140625
849,9844,0.636364,0.909091,0.0909091,0.0390684,6.0,1.0,0.0,0.0,1.1771693340885032,1.1140899385230845,0.3801726581436387,9517,/media/leni/DATADRIVE1/gecco_2026/meim_sq_cracks/meim_sq_cracks_20_0_0-27-12-2423-3074945916,cracks,SQ_CPPN,8028,-1,0.04073402222222222,9.8855927475,0.140625
850,6966,0.818182,0.909091,0.363636,0.0864012,6.0,0.0,2.0,0.0,1.3385867694185685,1.278891918522609,0.39528470752104744,6446,/media/leni/DATADRIVE1/gecco_2026/meim_sq_cracks/meim_sq_cracks_20_0_0-34-3-3723-1498892756,cracks,SQ_CPPN,4022,-1,0.04420059888888889,5.753645570555555,0.164062
851,6837,0.818182,0.909091,0.363636,0.0991736,2.0,1.0,2.0,0.0,1.2934801988580884,1.2798182585187476,0.1875,6319,/media/leni/DATADRIVE1/gecco_2026/meim_sq_cracks/meim_sq_cracks_20_0_0-34-3-3723-1498892756,cracks,SQ_CPPN,3856,-1,0.03789944027777778,5.645216871944444,0.15625
852,8930,0.909091,0.727273,0.272727,0.0480841,5.0,1.0,2.0,0.0,1.2446895436259637,1.1966889988680476,0.3423265984407288,8260,/media/leni/DATADRIVE1/gecco_2026/meim_sq_cracks/meim_sq_cracks_20_0_0-34-3-3723-1498892756,cracks,SQ_CPPN,6670,-1,0.041789225,7.2662898525,0.148438
853,9632,0.909091,0.727273,0.272727,0.0510894,5.0,0.0,4.0,0.0,1.261950417461542,1.1968135218702034,0.40019526483955303,8911,/media/leni/DATADRIVE1/gecco_2026/meim_sq_cracks/meim_sq_cracks_20_0_0-34-3-3723-1498892756,cracks,SQ_CPPN,7377,-1,0.04621532666666667,7.725290030555556,0.148438
854,4086,0.818182,0.909091,0.454545,0.0796394,6.0,0.0,2.0,0.0,1.3656763241933865,1.3072191179991057,0.39528470752104744,3787,/media/leni/DATADRIVE1/gecco_2026/meim_sq_cracks/meim_sq_cracks_20_0_0-34-3-3723-1498892756,cracks,SQ_CPPN,1755,-1,0.06759669388888889,3.4171393097222222,0.144531
855,7607,0.909091,0.727273,0.272727,0.0518407,5.0,0.0,2.0,1.0,1.2448403261123453,1.1968458286326982,0.3423265984407288,7009,/media/leni/DATADRIVE1/gecco_2026/meim_sq_cracks/meim_sq_cracks_20_0_0-34-3-3723-1498892756,cracks,SQ_CPPN,7377,-1,0.04099666055555556,6.2616952830555554,0.144531
856,8424,0.909091,0.727273,0.272727,0.0480841,5.0,1.0,2.0,0.0,1.2446895436259637,1.1966889988680476,0.3423265984407288,7772,/media/leni/DATADRIVE1/gecco_2026/meim_sq_cracks/meim_sq_cracks_20_0_0-34-3-3723-1498892756,cracks,SQ_CPPN,6670,-1,0.05658942166666667,6.877463579722222,0.144531
857,10129,0.727273,0.727273,0.181818,0.0300526,5.0,0.0,4.0,0.0,1.1189143072410683,1.044898548639417,0.40019526483955303,9351,/media/leni/DATADRIVE1/gecco_2026/meim_sq_cracks/meim_sq_cracks_20_0_0-34-3-3723-1498892756,cracks,SQ_CPPN,8873,-1,0.04312594555555556,8.08484670388889,0.144531
